,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GREEN ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"90 DAYS
SALES","BRANCH
STOCK","IN
TRANSIST","OPEN
PURCHASE
ORDER","ON HAND+
ON ORDER","NO OF
SALES
DAYS","90 DAYS
SALES /90",,"LEAD
TIME
FACTOR","VARIABILITY
FACTOR",,,"DECOUPLING
LEAD
TIME","DESIRED
ORDER
CYCLE",ADU * DLT,ADU * DLT * LTF,CYCLE * ADU,MOQ,"WHICH
IS
HIGHER",ADU * DLT * LTF,RED BASE * VF,BASE + RED SAFETY,RED,TOR + YELLOW,RED + YELLOW + GREEN,RED + GREEN 50%,,"(ADU*
DLT)*0.3",ON HAND,ON ORDER,"(ON HAND+
ON ORDER)-
QUALIFIED DEMAND",NET FLOW / TOG,"ORDER
RECOMMENDATION",,,TOR,"TOR+
GREEN",TOR+ GREEN*50%,,"TOR ""-""
(TOR + GREEN)",,
S.NO,MASTER SKU,"PRODUCT
CLASSIFICATION ",LEAD TIME,"PRICE
3,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDBRIEFSOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90, 95, 100, 110",6,"108, 120, 139, 176",4,2,120,120,ALL,DGL,228,216,0,0,216,89,2.56,,0.75,0.25,,,10,7,26,19,18,120,120,19.2,4.80,24.0,24.0,49.63,169.6,84.02,,7.69,216,0,208,123%,0,,,24.0,144.0,84,,24 - 144,,
3,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDBRIEFSOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90, 95, 100, 110",6,"108, 120, 139, 176",4,2,120,120,ALL,PDY,184,178,0,0,178,89,2.07,,0.75,0.25,,,10,7,21,16,14,120,120,15.5,3.88,19.4,19.4,40.06,160.1,79.38,,6.20,178,0,172,107%,0,,,19.4,139.4,79,,19 - 139,,
3,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDBRIEFSOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90, 95, 100, 110",6,"108, 120, 139, 176",4,2,120,120,ALL,NGL,0,0,0,0,0,0,0.00,,0.75,0.25,,,10,7,0,0,0,120,120,0.0,0.00,0.0,0.0,0.00,120.0,60.00,,0.00,0,0,0,0%,120,,,0.0,120.0,60,,0 - 120,,
3,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDBRIEFSOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90, 95, 100, 110",6,"108, 120, 139, 176",4,2,120,120,ALL,TOT,2571,1555,140,0,1695,90,28.57,,0.75,0.25,,,10,7,286,214,200,120,214,214.3,53.56,267.81,267.8,553.48,767.7,374.94,13.13,85.70,1555,140,1609,210%,0,,,267.8,482.1,375,,268 - 482,,
4,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDTRUNKOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90",3,"193, 200",2,2,60,120,ALL,TUP,470,62,100,0,162,89,5.28,,0.75,0.25,,,10,7,53,40,37,120,120,39.6,9.90,49.5,49.5,102.32,222.3,109.51,,15.84,62,100,146,66%,0,,,49.5,169.5,110,,50 - 170,,
4,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDTRUNKOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90",3,"193, 200",2,2,60,120,ALL,CBE,77,64,0,0,64,89,0.87,,0.75,0.25,,,10,7,9,6,6,120,120,6.5,1.62,8.1,8.1,16.76,136.8,68.11,,2.60,64,0,61,45%,0,,,8.1,128.1,68,,8 - 128,,
4,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDTRUNKOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90",3,"193, 200",2,2,60,120,ALL,ERD,161,42,0,0,42,89,1.81,,0.75,0.25,,,10,7,18,14,13,120,120,13.6,3.39,17.0,17.0,35.05,155.0,76.96,,5.43,42,0,37,24%,0,,,17.0,137.0,77,,17 - 137,,
4,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDTRUNKOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90",3,"193, 200",2,2,60,120,ALL,CB2,51,31,40,0,71,89,0.57,,0.75,0.25,,,10,7,6,4,4,120,120,4.3,1.07,5.4,5.4,11.10,131.1,65.37,,1.72,31,40,69,53%,0,,,5.4,125.4,65,,5 - 125,,
4,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDTRUNKOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90",3,"193, 200",2,2,60,120,ALL,TNV,163,175,0,0,175,88,1.85,,0.75,0.25,,,10,7,19,14,13,120,120,13.9,3.47,17.4,17.4,35.89,155.9,77.37,,5.56,175,0,169,109%,0,,,17.4,137.4,77,,17 - 137,,
4,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDTRUNKOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90",3,"193, 200",2,2,60,120,ALL,SLM,155,78,10,0,88,89,1.74,,0.75,0.25,,,10,7,17,13,12,120,120,13.1,3.27,16.3,16.3,33.74,153.7,76.33,,5.22,78,10,83,54%,0,,,16.3,136.3,76,,16 - 136,,
4,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDTRUNKOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90",3,"193, 200",2,2,60,120,ALL,MDU,311,359,0,0,359,89,3.49,,0.75,0.25,,,10,7,35,26,24,120,120,26.2,6.55,32.8,32.8,67.70,187.7,92.76,,10.48,359,0,349,186%,0,,,32.8,152.8,93,,33 - 153,,
4,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDTRUNKOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90",3,"193, 200",2,2,60,120,ALL,VPM,274,17,100,0,117,89,3.08,,0.75,0.25,,,10,7,31,23,22,120,120,23.1,5.77,28.9,28.9,59.65,179.6,88.86,,9.24,17,100,108,60%,0,,,28.9,148.9,89,,29 - 149,,
4,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDTRUNKOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90",3,"193, 200",2,2,60,120,ALL,TUT,46,66,0,0,66,89,0.52,,0.75,0.25,,,10,7,5,4,4,120,120,3.9,0.97,4.8,4.8,10.01,130.0,64.85,,1.55,66,0,64,50%,0,,,4.8,124.8,65,,5 - 125,,
4,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDTRUNKOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90",3,"193, 200",2,2,60,120,ALL,DGL,136,171,0,0,171,89,1.53,,0.75,0.25,,,10,7,15,11,11,120,120,11.5,2.87,14.3,14.3,29.61,149.6,74.33,,4.58,171,0,166,111%,0,,,14.3,134.3,74,,14 - 134,,
4,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDTRUNKOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90",3,"193, 200",2,2,60,120,ALL,PDY,160,9,100,0,109,89,1.80,,0.75,0.25,,,10,7,18,13,13,120,120,13.5,3.37,16.9,16.9,34.83,154.8,76.85,,5.39,9,100,104,67%,0,,,16.9,136.9,77,,17 - 137,,
4,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDTRUNKOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90",3,"193, 200",2,2,60,120,ALL,NGL,0,0,0,0,0,0,0.00,,0.75,0.25,,,10,7,0,0,0,120,120,0.0,0.00,0.0,0.0,0.00,120.0,60.00,,0.00,0,0,0,0%,120,,,0.0,120.0,60,,0 - 120,,
4,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDTRUNKOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90",3,"193, 200",2,2,60,120,ALL,TOT,2004,1074,350,0,1424,90,22.27,,0.75,0.25,,,10,7,223,167,156,120,167,167.0,41.75,208.75,208.8,431.42,598.4,292.25,13.13,66.80,1074,350,1357,227%,0,,,208.8,375.8,292,,209 - 376,,
5,MENSINNER WEARECONOMICDAILY WEARINNER WEAR TOPSOLIDRIB RN VESTCLASSICPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90, 95, 100",5,"124, 139, 164",3,2,10,120,ALL,TUP,75,68,0,0,68,89,0.84,,0.75,0.25,,,10,7,8,6,6,120,120,6.3,1.58,7.9,7.9,16.33,136.3,67.90,,2.53,68,0,65,48%,0,,,7.9,127.9,68,,8 - 128,,
5,MENSINNER WEARECONOMICDAILY WEARINNER WEAR TOPSOLIDRIB RN VESTCLASSICPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90, 95, 100",5,"124, 139, 164",3,2,10,120,ALL,CBE,0,0,0,0,0,0,0.00,,0.75,0.25,,,10,7,0,0,0,120,120,0.0,0.00,0.0,0.0,0.00,120.0,60.00,,0.00,0,0,0,0%,120,,,0.0,120.0,60,,0 - 120,,
